title,price,description,esrb_rating,genre,manufacturer,platform,release_date,weight,stock
Ayo the Clown (Limited Run Games)   PlayStation 4 PS4,54.99,Ayo the Clown is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Everyone,ACTION,LRGAMES,PS4,13-Dec-22,0.1700 lbs,23
Azur Lane Crosswave (Limited Run Games)   PlayStation 4 PS4,79.99,This release is not a part of the Limited Run Games Collection and is not a numbered release. Missing out on this release will not compromise a complete Limited Run set.,Teen,RPG,LRGAMES,PS4,05-Nov-19,0.1850 lbs,36
Babylons Fall (Service Ended)   PlayStation 4 PS4,49.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Teen,RPG,SQUAREENIX,PS4,03-Mar-22,6.62249E+11,31
Back 4 Blood   PlayStation 4 PS4,39.99,,Mature,FPS,WARNER,PS4,12-Oct-21,8.8393E+11,36
Baila Latino   PlayStation 4 PS4,39.99,,Everyone,MUSIC,CRESENT,PS4,16-May-17,0.1850 lbs,35
Dungeon Munchies   PlayStation 5 PS5,44.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACT/AD,PM STUDIOS,PS5,13-Jan-23,0.2000 lbs,13
Dungeon Munchies Collectors Edition   PlayStation 5 PS5,104.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACT/AD,PM STUDIOS,PS5,13-Jan-23,0.6700 lbs,47
Dungeons 4   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,STRATEGY,KALYPSO,PS5,31-Dec-24,,5
Dusk Diver 2 Launch Edition   PlayStation 5 PS5,64.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,IDEAFACT,PS5,30-Aug-22,0.6100 lbs,37
Dying Light 2 Stay Human   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Mature,ACTION,SQUAREENIX,PS5,04-Feb-22,6.62249E+11,22
